SettlementDate,SettlementPeriod,NetImbalanceVolume
01-10-2022,3,491.8591
01-10-2022,4,397.3511
01-10-2022,5,470.9249
01-10-2022,6,372.219
01-10-2022,7,101.2442
01-10-2022,8,-221.0504
01-10-2022,9,-629.9229
01-10-2022,10,-774.6918
01-10-2022,11,-481.0853
01-10-2022,12,-342.1448
01-10-2022,13,-355.0137
01-10-2022,14,-61.1712
01-10-2022,15,488.5087
01-10-2022,16,343.851
01-10-2022,17,130.0061
01-10-2022,18,334.5594
01-10-2022,19,176.7468
01-10-2022,20,-48.1404
01-10-2022,21,-186.3917
01-10-2022,22,-494.9957
01-10-2022,23,-476.0324
01-10-2022,24,-477.9871
01-10-2022,25,-333.8317
01-10-2022,26,-241.59302
01-10-2022,27,-214.1633
01-10-2022,28,-293.8697
01-10-2022,29,-318.638
01-10-2022,30,-416.2878
01-10-2022,31,-531.3303
01-10-2022,32,-91.5143
01-10-2022,33,49.3441
01-10-2022,34,408.5511
01-10-2022,35,389.4804
01-10-2022,36,928.6551
01-10-2022,37,933.0479
01-10-2022,38,1118.1747
01-10-2022,39,931.7862
01-10-2022,40,750.1564
01-10-2022,41,669.8591
01-10-2022,42,402.10718
01-10-2022,43,385.9903
01-10-2022,44,112.5804
01-10-2022,45,-142.4505
01-10-2022,46,-109.38999
01-10-2022,47,183.1722
01-10-2022,48,52.7176
02-10-2022,1,-119.124
02-10-2022,2,-72.3916
02-10-2022,3,-334.9248
02-10-2022,4,-153.5884
02-10-2022,5,-480.6588
02-10-2022,6,-585.8937
02-10-2022,7,-569.4417
02-10-2022,8,-280.0416
02-10-2022,9,-501.0663
02-10-2022,10,-329.675
02-10-2022,11,-198.1548
02-10-2022,12,130.2437
02-10-2022,13,260.29
02-10-2022,14,105.4887
02-10-2022,15,-69.00578
02-10-2022,16,4.473
02-10-2022,17,-335.6048
02-10-2022,18,-11.6842
02-10-2022,19,-60.4478
02-10-2022,20,-193.8583
02-10-2022,21,-496.0954
02-10-2022,22,-800.2517
02-10-2022,23,-1037.1776
02-10-2022,24,-1239.52
02-10-2022,25,-769.2721
02-10-2022,26,-682.2661
02-10-2022,27,-385.8124
02-10-2022,28,-203.8524
02-10-2022,29,-509.3288
02-10-2022,30,-705.18176
02-10-2022,31,-922.8319
02-10-2022,32,-918.5091
02-10-2022,33,-268.0416
02-10-2022,34,90.487
02-10-2022,35,130.5537
02-10-2022,36,55.0957
02-10-2022,37,93.0058
02-10-2022,38,75.3512
02-10-2022,39,-38.64831
02-10-2022,40,-174.6208
02-10-2022,41,30.3258
02-10-2022,42,-217.32571
02-10-2022,43,-129.6202
02-10-2022,44,20.9427
02-10-2022,45,166.11288
02-10-2022,46,200.7769
02-10-2022,47,182.7229
02-10-2022,48,376.7765
03-10-2022,1,214.68509
03-10-2022,2,65.27499
03-10-2022,3,252.0912
03-10-2022,4,466.5967
03-10-2022,5,396.42224
03-10-2022,6,261.5313
03-10-2022,7,21.298
03-10-2022,8,4.3854
03-10-2022,9,379.4707
03-10-2022,10,130.1452
03-10-2022,11,412.1512
03-10-2022,12,426.8245
03-10-2022,13,246.2836
03-10-2022,14,221.8656
03-10-2022,15,339.5542
03-10-2022,16,463.4767
03-10-2022,17,100.8416
03-10-2022,18,108.2722
03-10-2022,19,303.9501
03-10-2022,20,154.4555
03-10-2022,21,-150.9863
03-10-2022,22,-104.41141
03-10-2022,23,105.4086
03-10-2022,24,-66.76709
03-10-2022,25,208.9017
03-10-2022,26,-75.95182
03-10-2022,27,-136.72731
03-10-2022,28,-445.7554
03-10-2022,29,-338.1271
03-10-2022,30,-235.77982
03-10-2022,31,185.9766
03-10-2022,32,87.6904
03-10-2022,33,316.6148
03-10-2022,34,-232.96632
03-10-2022,35,-189.9815
03-10-2022,36,-237.58789
03-10-2022,37,-57.11314
03-10-2022,38,44.02919
03-10-2022,39,113.1362
03-10-2022,40,-331.53152
03-10-2022,41,-515.99646
03-10-2022,42,-471.96747
03-10-2022,43,-45.94709
03-10-2022,44,256.2151
03-10-2022,45,99.178
03-10-2022,46,-98.3853
03-10-2022,47,173.27672
03-10-2022,48,214.91661
04-10-2022,1,250.19379
04-10-2022,2,174.5757
04-10-2022,3,217.2889
04-10-2022,4,354.8468
04-10-2022,5,428.058
04-10-2022,6,410.6188
04-10-2022,7,276.1917
04-10-2022,8,63.4579
04-10-2022,9,-12.7431
04-10-2022,10,5.8656
04-10-2022,11,221.0709
04-10-2022,12,157.7681
04-10-2022,13,272.715
04-10-2022,14,-17.9468
04-10-2022,15,-366.0935
04-10-2022,16,-45.29913
04-10-2022,17,-86.77241
04-10-2022,18,-38.0715
04-10-2022,19,-67.66499
04-10-2022,20,-61.2308
04-10-2022,21,-149.49861
04-10-2022,22,-37.1759
04-10-2022,23,52.0663
04-10-2022,24,305.9313
04-10-2022,25,490.5666
04-10-2022,26,632.3893
04-10-2022,27,208.4858
04-10-2022,28,-48.97
04-10-2022,29,-406.94052
04-10-2022,30,-777.1375
04-10-2022,31,-307.5342
04-10-2022,32,-508.2631
04-10-2022,33,77.7263
04-10-2022,34,84.417
04-10-2022,35,88.6909
04-10-2022,36,94.1685
04-10-2022,37,-127.33071
04-10-2022,38,-0.7207
04-10-2022,39,125.00269
04-10-2022,40,-86.55691
04-10-2022,41,-287.9982
04-10-2022,42,-275.7767
04-10-2022,43,-288.8023
04-10-2022,44,-553.0948
04-10-2022,45,-629.0265
04-10-2022,46,-151.7608
04-10-2022,47,-210.9237
04-10-2022,48,-445.6779
05-10-2022,1,-242.3389
05-10-2022,2,-401.5625
05-10-2022,3,-257.9637
05-10-2022,4,-235.6962
05-10-2022,5,-155.9834
05-10-2022,6,-341.5041
05-10-2022,7,-225.1915
05-10-2022,8,-208.2584
05-10-2022,9,-344.3438
05-10-2022,10,-145.3396
05-10-2022,11,211.334
05-10-2022,12,339.9342
05-10-2022,13,27.3289
05-10-2022,14,411.5861
05-10-2022,15,888.4317
05-10-2022,16,1340.6052
05-10-2022,17,1242.0181
05-10-2022,18,985.3598
05-10-2022,19,982.45026
05-10-2022,20,807.9807
05-10-2022,21,1007.7414
05-10-2022,22,1188.2568
05-10-2022,23,1364.2585
05-10-2022,24,1033.8085
05-10-2022,25,822.7333
05-10-2022,26,677.0633
05-10-2022,27,762.375
05-10-2022,28,811.3253
05-10-2022,29,771.91864
05-10-2022,30,511.0918
05-10-2022,31,408.2176
05-10-2022,32,569.0499
05-10-2022,33,1154.3458
05-10-2022,34,635.9781
05-10-2022,35,150.6683
05-10-2022,36,-29.39941
05-10-2022,37,-75.5559
05-10-2022,38,-46.46859
05-10-2022,39,91.3806
05-10-2022,40,-88.36801
05-10-2022,41,266.2364
05-10-2022,42,399.0227
05-10-2022,43,696.7094
05-10-2022,44,684.3378
05-10-2022,45,487.3935
05-10-2022,46,19.1415
05-10-2022,47,-208.739
05-10-2022,48,-321.8209
06-10-2022,1,-89.1248
06-10-2022,2,-176.9551
06-10-2022,3,-234.3853
06-10-2022,4,-46.6001
06-10-2022,5,-148.6208
06-10-2022,6,-257.6243
06-10-2022,7,-270.1754
06-10-2022,8,-174.461
06-10-2022,9,-87.38329
06-10-2022,10,-89.8607
06-10-2022,11,-62.4963
06-10-2022,12,16.4081
06-10-2022,13,188.68658
06-10-2022,14,442.7577
06-10-2022,15,408.6036
06-10-2022,16,651.9846
06-10-2022,17,364.6858
06-10-2022,18,145.3768
06-10-2022,19,-322.73227
06-10-2022,20,-52.842
06-10-2022,21,-38.16512
06-10-2022,22,-216.67549
06-10-2022,23,-206.6061
06-10-2022,24,-403.75397
06-10-2022,25,-498.08365
06-10-2022,26,-426.625
06-10-2022,27,-151.5001
06-10-2022,28,-51.08544
06-10-2022,29,-201.99353
06-10-2022,30,48.5657
06-10-2022,31,-79.28079
06-10-2022,32,-126.748
06-10-2022,33,173.1353
06-10-2022,34,340.8875
06-10-2022,35,289.0491
06-10-2022,36,388.9619
06-10-2022,37,288.3468
06-10-2022,38,642.17236
06-10-2022,39,617.51306
06-10-2022,40,137.3289
06-10-2022,41,22.9806
06-10-2022,42,156.17581
06-10-2022,43,414.1781
06-10-2022,44,347.2131
06-10-2022,45,162.85019
06-10-2022,46,219.0235
06-10-2022,47,259.1558
06-10-2022,48,100.2611
07-10-2022,1,-16.37388
07-10-2022,2,-117.9831
07-10-2022,3,98.5501
07-10-2022,4,17.6012
07-10-2022,5,-135.8585
07-10-2022,6,-222.59177
07-10-2022,7,-211.5165
07-10-2022,8,-181.7853
07-10-2022,9,-100.8417
07-10-2022,10,-186.4717
07-10-2022,11,-250.0331
07-10-2022,12,233.62572
07-10-2022,13,256.09552
07-10-2022,14,437.5954
07-10-2022,15,192.85172
07-10-2022,16,698.2986
07-10-2022,17,270.1242
07-10-2022,18,349.3857
07-10-2022,19,369.8004
07-10-2022,20,183.4962
07-10-2022,21,53.7212
07-10-2022,22,-24.41821
07-10-2022,23,-72.0368
07-10-2022,24,-28.8548
07-10-2022,25,168.51091
07-10-2022,26,195.34949
07-10-2022,27,104.529
07-10-2022,28,195.1248
07-10-2022,29,88.5888
07-10-2022,30,6.6232
07-10-2022,31,177.28761
07-10-2022,32,434.2784
07-10-2022,33,475.9827
07-10-2022,34,781.0412
07-10-2022,35,1337.174
07-10-2022,36,913.7612
07-10-2022,37,964.7704
07-10-2022,38,1035.9641
07-10-2022,39,22.5516
07-10-2022,40,179.8698
07-10-2022,41,254.864
07-10-2022,42,274.2942
07-10-2022,43,217.5482
07-10-2022,44,259.9261
07-10-2022,45,584.68066
07-10-2022,46,189.19789
07-10-2022,47,398.5055
07-10-2022,48,-38.141
08-10-2022,1,-214.8235
08-10-2022,2,-365.82
08-10-2022,3,-309.1695
08-10-2022,4,-134.9039
08-10-2022,5,96.2303
08-10-2022,6,112.9253
08-10-2022,7,135.7666
08-10-2022,8,57.0212
08-10-2022,9,-227.9287
08-10-2022,10,48.95172
08-10-2022,11,126.95268
08-10-2022,12,76.4001
08-10-2022,13,81.3523
08-10-2022,14,-42.4821
08-10-2022,15,-261.7971
08-10-2022,16,271.4029
08-10-2022,17,-21.0724
08-10-2022,18,76.6285
08-10-2022,19,-6.81141
08-10-2022,20,25.8456
08-10-2022,21,-301.6016
08-10-2022,22,-216.8021
08-10-2022,23,28.37
08-10-2022,24,-8.8194
08-10-2022,25,41.1504
09-10-2022,25,-74.76891
09-10-2022,26,162.6899
09-10-2022,27,246.2849
09-10-2022,28,303.9801
09-10-2022,29,270.4054
09-10-2022,30,148.24829
09-10-2022,31,-12.23681
09-10-2022,32,276.011
09-10-2022,33,649.7445
09-10-2022,34,612.496
09-10-2022,35,835.9558
09-10-2022,36,670.6724
09-10-2022,37,392.4161
09-10-2022,38,463.0885
09-10-2022,39,-167.8412
09-10-2022,40,-433.3942
09-10-2022,41,76.8258
09-10-2022,42,-1.52
09-10-2022,43,433.1574
09-10-2022,44,182.2374
09-10-2022,45,350.8316
09-10-2022,46,-171.09924
09-10-2022,47,-200.7373
09-10-2022,48,-86.65782
10-10-2022,1,222.41571
10-10-2022,2,322.6395
10-10-2022,3,195.59837
10-10-2022,4,347.7975
10-10-2022,5,110.3223
10-10-2022,6,161.99179
10-10-2022,7,237.84769
10-10-2022,8,77.35281
10-10-2022,9,126.2397
10-10-2022,10,152.3972
10-10-2022,11,-82.5131
10-10-2022,12,-26.48751
10-10-2022,13,517.578
10-10-2022,14,376.5923
10-10-2022,15,152.6527
10-10-2022,16,93.1844
10-10-2022,17,227.5736
10-10-2022,18,285.3381
10-10-2022,19,415.237
10-10-2022,20,39.4348
10-10-2022,21,-10.0398
10-10-2022,22,-408.7311
10-10-2022,23,-395.36142
10-10-2022,24,-570.6942
10-10-2022,25,-370.1364
10-10-2022,26,-411.2679
10-10-2022,27,-397.46362
10-10-2022,28,-192.87695
10-10-2022,29,199.03198
10-10-2022,30,-17.72722
10-10-2022,31,74.6056
10-10-2022,32,-51.798
10-10-2022,33,-193.1662
10-10-2022,34,-356.6544
10-10-2022,35,-633.2019
10-10-2022,36,-412.3032
10-10-2022,37,-397.0097
10-10-2022,38,142.829
10-10-2022,39,-92.7282
10-10-2022,40,-51.4769
10-10-2022,41,-147.6489
10-10-2022,42,-274.7872
10-10-2022,43,-345.508
10-10-2022,44,18.22471
10-10-2022,45,-259.7532
10-10-2022,46,-538.0507
10-10-2022,47,63.5404
10-10-2022,48,-107.3698
11-10-2022,1,-45.3651
11-10-2022,2,47.5243
11-10-2022,3,-126.6287
11-10-2022,4,-166.8832
11-10-2022,5,-105.578
11-10-2022,6,-195.7367
11-10-2022,7,-108.3472
11-10-2022,8,-49.0825
11-10-2022,9,-122.924
11-10-2022,10,-160.5382
11-10-2022,11,-10.1179
11-10-2022,12,267.3211
11-10-2022,13,152.6296
11-10-2022,14,350.9213
11-10-2022,15,135.8606
11-10-2022,16,456.0076
11-10-2022,17,149.8342
11-10-2022,18,59.96019
11-10-2022,19,138.2858
11-10-2022,20,-83.4464
11-10-2022,21,-100.3532
11-10-2022,22,84.9053
11-10-2022,23,-181.994
11-10-2022,24,-46.4622
11-10-2022,25,283.1227
11-10-2022,26,292.8307
11-10-2022,27,29.124
11-10-2022,28,104.3384
11-10-2022,29,-3.89169
11-10-2022,30,-27.2532
11-10-2022,31,-458.9561
11-10-2022,32,-413.1783
11-10-2022,33,105.38259
11-10-2022,34,146.2801
11-10-2022,35,127.8185
11-10-2022,36,201.2654
11-10-2022,37,286.7081
11-10-2022,38,458.2424
11-10-2022,39,412.4599
11-10-2022,40,28.4078
11-10-2022,41,239.1325
11-10-2022,42,8.2554
11-10-2022,43,193.6973
11-10-2022,44,-3.0938
11-10-2022,45,6.4107
11-10-2022,46,285.0242
