StartTime,SettlementDate,SettlementPeriod,Boundary,PublishTime,TransmissionSystemDemand,NationalDemand
2022-10-01T00:00:00Z,2022-10-01,3,N,2022-09-30T23:45:00Z,22364,18700.0
2022-10-01T00:30:00Z,2022-10-01,4,N,2022-09-30T23:45:00Z,22225,18590.0
2022-10-01T01:00:00Z,2022-10-01,5,N,2022-09-30T23:45:00Z,21815,18229.0
2022-10-01T01:30:00Z,2022-10-01,6,N,2022-09-30T23:45:00Z,21196,17624.0
2022-10-01T02:00:00Z,2022-10-01,7,N,2022-09-30T23:45:00Z,21262,17153.0
2022-10-01T02:30:00Z,2022-10-01,8,N,2022-09-30T23:45:00Z,20993,16831.0
2022-10-01T03:00:00Z,2022-10-01,9,N,2022-09-30T23:45:00Z,20951,16651.0
2022-10-01T03:30:00Z,2022-10-01,10,N,2022-09-30T23:45:00Z,20886,16500.0
2022-10-01T04:00:00Z,2022-10-01,11,N,2022-09-30T23:45:00Z,20715,17024.0
2022-10-01T04:30:00Z,2022-10-01,12,N,2022-09-30T23:45:00Z,21095,17529.0
2022-10-01T05:00:00Z,2022-10-01,13,N,2022-09-30T23:45:00Z,21776,18723.0
2022-10-01T05:30:00Z,2022-10-01,14,N,2022-09-30T23:45:00Z,22499,19456.0
2022-10-01T06:00:00Z,2022-10-01,15,N,2022-09-30T23:45:00Z,23728,20814.0
2022-10-01T06:30:00Z,2022-10-01,16,N,2022-09-30T23:45:00Z,24493,21821.0
2022-10-01T07:00:00Z,2022-10-01,17,N,2022-09-30T23:45:00Z,25179,22670.0
2022-10-01T07:30:00Z,2022-10-01,18,N,2022-09-30T23:45:00Z,25264,22629.0
2022-10-01T08:00:00Z,2022-10-01,19,N,2022-09-30T23:45:00Z,25257,22560.0
2022-10-01T08:30:00Z,2022-10-01,20,N,2022-09-30T23:45:00Z,24921,22097.0
2022-10-01T09:00:00Z,2022-10-01,21,N,2022-09-30T23:45:00Z,24836,21546.0
2022-10-01T09:30:00Z,2022-10-01,22,N,2022-09-30T23:45:00Z,24369,21030.0
2022-10-01T10:00:00Z,2022-10-01,23,N,2022-09-30T23:45:00Z,24240,20477.0
2022-10-01T10:30:00Z,2022-10-01,24,N,2022-09-30T23:45:00Z,23982,20187.0
2022-10-01T11:00:00Z,2022-10-01,25,N,2022-09-30T23:45:00Z,24019,20135.0
2022-10-01T11:30:00Z,2022-10-01,26,N,2022-09-30T23:45:00Z,23907,20026.0
2022-10-01T12:00:00Z,2022-10-01,27,N,2022-09-30T23:45:00Z,23848,19860.0
2022-10-01T12:30:00Z,2022-10-01,28,N,2022-09-30T23:45:00Z,23463,19414.0
2022-10-01T13:00:00Z,2022-10-01,29,N,2022-09-30T23:45:00Z,22971,19200.0
2022-10-01T13:30:00Z,2022-10-01,30,N,2022-09-30T23:45:00Z,23167,19372.0
2022-10-01T14:00:00Z,2022-10-01,31,N,2022-09-30T23:45:00Z,22538,19514.0
2022-10-01T14:30:00Z,2022-10-01,32,N,2022-09-30T23:45:00Z,23067,20133.0
