StartTime,Demand,SettlementPeriod
2022-10-01 00:00:00+00:00,133303,1
2022-10-01 00:30:00+00:00,131545,2
2022-10-01 01:00:00+00:00,128246,3
2022-10-01 01:30:00+00:00,126189,4
2022-10-01 02:00:00+00:00,126988,5
2022-10-01 02:30:00+00:00,127694,6
2022-10-01 03:00:00+00:00,126240,7
2022-10-01 03:30:00+00:00,125990,8
2022-10-01 04:00:00+00:00,128768,9
2022-10-01 04:30:00+00:00,130824,10
2022-10-01 05:00:00+00:00,133133,11
2022-10-01 05:30:00+00:00,136550,12
2022-10-01 06:00:00+00:00,137220,13
2022-10-01 06:30:00+00:00,140864,14
2022-10-01 07:00:00+00:00,142767,15
2022-10-01 07:30:00+00:00,143416,16
2022-10-01 08:00:00+00:00,143388,17
2022-10-01 08:30:00+00:00,141076,18
2022-10-01 09:00:00+00:00,140618,19
2022-10-01 09:30:00+00:00,138570,20
2022-10-01 10:00:00+00:00,138920,21
2022-10-01 10:30:00+00:00,139046,22
2022-10-01 11:00:00+00:00,140345,23
2022-10-01 11:30:00+00:00,140186,24
2022-10-01 12:00:00+00:00,139195,25
2022-10-01 12:30:00+00:00,138577,26
2022-10-01 13:00:00+00:00,135872,27
2022-10-01 13:30:00+00:00,135760,28
2022-10-01 14:00:00+00:00,135486,29
2022-10-01 14:30:00+00:00,139503,30
2022-10-01 15:00:00+00:00,145440,31
2022-10-01 15:30:00+00:00,150899,32
2022-10-01 16:00:00+00:00,156606,33
2022-10-01 16:30:00+00:00,164769,34
2022-10-01 17:00:00+00:00,171574,35
2022-10-01 17:30:00+00:00,174027,36
2022-10-01 18:00:00+00:00,174531,37
2022-10-01 18:30:00+00:00,170922,38
2022-10-01 19:00:00+00:00,166609,39
2022-10-01 19:30:00+00:00,163110,40
2022-10-01 20:00:00+00:00,159061,41
2022-10-01 20:30:00+00:00,154773,42
2022-10-01 21:00:00+00:00,153387,43
2022-10-01 21:30:00+00:00,148694,44
2022-10-01 22:00:00+00:00,141970,45
2022-10-01 22:30:00+00:00,136501,46
2022-10-01 23:00:00+00:00,134973,47
2022-10-01 23:30:00+00:00,134524,48
2022-10-02 00:00:00+00:00,134423,1
2022-10-02 00:30:00+00:00,133754,2
2022-10-02 01:00:00+00:00,130061,3
2022-10-02 01:30:00+00:00,125703,4
2022-10-02 02:00:00+00:00,125703,5
2022-10-02 02:30:00+00:00,124028,6
2022-10-02 03:00:00+00:00,122902,7
2022-10-02 03:30:00+00:00,119518,8
2022-10-02 04:00:00+00:00,119093,9
2022-10-02 04:30:00+00:00,118433,10
2022-10-02 05:00:00+00:00,121482,11
2022-10-02 05:30:00+00:00,124154,12
2022-10-02 06:00:00+00:00,123276,13
2022-10-02 06:30:00+00:00,128852,14
2022-10-02 07:00:00+00:00,136725,15
2022-10-02 07:30:00+00:00,141584,16
2022-10-02 08:00:00+00:00,146356,17
2022-10-02 08:30:00+00:00,147013,18
