StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2022-10-07T22:30:00Z,APXMIDP,2022-10-07,48,202.94,1013.8
2022-10-07T22:00:00Z,APXMIDP,2022-10-07,47,211.97,1220.45
2022-10-07T21:30:00Z,APXMIDP,2022-10-07,46,196.38,1177.0
2022-10-07T21:00:00Z,APXMIDP,2022-10-07,45,198.67,1245.1
2022-10-07T20:30:00Z,APXMIDP,2022-10-07,44,188.44,1030.4
2022-10-07T20:00:00Z,APXMIDP,2022-10-07,43,184.3,1092.5
2022-10-07T19:30:00Z,APXMIDP,2022-10-07,42,238.5,1774.15
2022-10-07T19:00:00Z,APXMIDP,2022-10-07,41,238.79,2426.6
2022-10-07T18:30:00Z,APXMIDP,2022-10-07,40,254.12,2177.05
2022-10-07T18:00:00Z,APXMIDP,2022-10-07,39,296.03,2343.7
2022-10-07T17:30:00Z,APXMIDP,2022-10-07,38,364.5,1573.1
2022-10-07T17:00:00Z,APXMIDP,2022-10-07,37,374.71,1784.35
2022-10-07T16:30:00Z,APXMIDP,2022-10-07,36,372.71,2228.9
2022-10-07T16:00:00Z,APXMIDP,2022-10-07,35,209.53,1401.05
2022-10-07T15:30:00Z,APXMIDP,2022-10-07,34,172.02,1555.1
2022-10-07T15:00:00Z,APXMIDP,2022-10-07,33,176.49,1219.85
2022-10-07T14:30:00Z,APXMIDP,2022-10-07,32,149.24,1100.4
2022-10-07T14:00:00Z,APXMIDP,2022-10-07,31,135.62,1010.45
2022-10-07T13:30:00Z,APXMIDP,2022-10-07,30,99.33,1508.2
2022-10-07T13:00:00Z,APXMIDP,2022-10-07,29,103.95,1374.75
2022-10-07T12:30:00Z,APXMIDP,2022-10-07,28,97.47,1329.75
2022-10-07T12:00:00Z,APXMIDP,2022-10-07,27,113.61,1416.5
2022-10-07T11:30:00Z,APXMIDP,2022-10-07,26,106.97,1432.15
2022-10-07T11:00:00Z,APXMIDP,2022-10-07,25,102.37,1343.0
2022-10-07T10:30:00Z,APXMIDP,2022-10-07,24,107.53,1435.95
2022-10-07T10:00:00Z,APXMIDP,2022-10-07,23,105.35,1351.35
2022-10-07T09:30:00Z,APXMIDP,2022-10-07,22,144.43,1260.2
2022-10-07T09:00:00Z,APXMIDP,2022-10-07,21,188.67,1224.7
2022-10-07T08:30:00Z,APXMIDP,2022-10-07,20,180.75,1102.05
2022-10-07T08:00:00Z,APXMIDP,2022-10-07,19,205.22,1063.05
2022-10-07T07:30:00Z,APXMIDP,2022-10-07,18,219.91,1099.85
2022-10-07T07:00:00Z,APXMIDP,2022-10-07,17,219.91,1030.55
2022-10-07T06:30:00Z,APXMIDP,2022-10-07,16,269.36,1140.45
2022-10-07T06:00:00Z,APXMIDP,2022-10-07,15,234.56,1095.35
2022-10-07T05:30:00Z,APXMIDP,2022-10-07,14,199.34,1179.0
2022-10-07T05:00:00Z,APXMIDP,2022-10-07,13,135.17,838.35
2022-10-07T04:30:00Z,APXMIDP,2022-10-07,12,58.93,956.7
2022-10-07T04:00:00Z,APXMIDP,2022-10-07,11,-38.66,942.05
2022-10-07T03:30:00Z,APXMIDP,2022-10-07,10,-10.25,701.85
2022-10-07T03:00:00Z,APXMIDP,2022-10-07,9,-17.25,797.35
2022-10-07T02:30:00Z,APXMIDP,2022-10-07,8,-9.79,843.65
2022-10-07T02:00:00Z,APXMIDP,2022-10-07,7,19.36,712.85
2022-10-07T01:30:00Z,APXMIDP,2022-10-07,6,17.63,641.1
2022-10-07T01:00:00Z,APXMIDP,2022-10-07,5,44.24,627.15
2022-10-07T00:30:00Z,APXMIDP,2022-10-07,4,21.98,699.6
2022-10-07T00:00:00Z,APXMIDP,2022-10-07,3,10.92,601.15
2022-10-06T23:30:00Z,APXMIDP,2022-10-07,2,10.23,708.45
2022-10-06T23:00:00Z,APXMIDP,2022-10-07,1,26.79,690.65
2022-10-06T22:30:00Z,APXMIDP,2022-10-06,48,113.47,912.1
2022-10-06T22:00:00Z,APXMIDP,2022-10-06,47,133.19,658.1
2022-10-06T21:30:00Z,APXMIDP,2022-10-06,46,129.87,1497.9
2022-10-06T21:00:00Z,APXMIDP,2022-10-06,45,163.38,1414.0
2022-10-06T20:30:00Z,APXMIDP,2022-10-06,44,174.65,1300.35
2022-10-06T20:00:00Z,APXMIDP,2022-10-06,43,181.0,1220.45
2022-10-06T19:30:00Z,APXMIDP,2022-10-06,42,166.54,1273.25
2022-10-06T19:00:00Z,APXMIDP,2022-10-06,41,182.24,1434.55
2022-10-06T18:30:00Z,APXMIDP,2022-10-06,40,185.9,1548.45
2022-10-06T18:00:00Z,APXMIDP,2022-10-06,39,196.73,1900.0
2022-10-06T17:30:00Z,APXMIDP,2022-10-06,38,181.2,1454.4
2022-10-06T17:00:00Z,APXMIDP,2022-10-06,37,180.27,1586.3
2022-10-06T16:30:00Z,APXMIDP,2022-10-06,36,170.63,1750.25
2022-10-06T16:00:00Z,APXMIDP,2022-10-06,35,174.0,1700.2
2022-10-06T15:30:00Z,APXMIDP,2022-10-06,34,139.01,1684.45
2022-10-06T15:00:00Z,APXMIDP,2022-10-06,33,134.51,1658.35
2022-10-06T14:30:00Z,APXMIDP,2022-10-06,32,129.58,1702.4
2022-10-06T14:00:00Z,APXMIDP,2022-10-06,31,129.46,1410.75
2022-10-06T13:30:00Z,APXMIDP,2022-10-06,30,96.21,1865.45
2022-10-06T13:00:00Z,APXMIDP,2022-10-06,29,92.81,1756.25
2022-10-06T12:30:00Z,APXMIDP,2022-10-06,28,94.64,1712.25
2022-10-06T12:00:00Z,APXMIDP,2022-10-06,27,95.66,1819.65
2022-10-06T11:30:00Z,APXMIDP,2022-10-06,26,91.47,1823.45
2022-10-06T11:00:00Z,APXMIDP,2022-10-06,25,90.45,1856.55
2022-10-06T10:30:00Z,APXMIDP,2022-10-06,24,100.83,1816.65
2022-10-06T10:00:00Z,APXMIDP,2022-10-06,23,109.66,1780.65
2022-10-06T09:30:00Z,APXMIDP,2022-10-06,22,117.69,1614.1
2022-10-06T09:00:00Z,APXMIDP,2022-10-06,21,120.78,1477.85
2022-10-06T08:30:00Z,APXMIDP,2022-10-06,20,114.12,1366.8
2022-10-06T08:00:00Z,APXMIDP,2022-10-06,19,138.05,1600.5
2022-10-06T07:30:00Z,APXMIDP,2022-10-06,18,189.67,1283.75
2022-10-06T07:00:00Z,APXMIDP,2022-10-06,17,181.94,1163.85
2022-10-06T06:30:00Z,APXMIDP,2022-10-06,16,200.33,1653.7
2022-10-06T06:00:00Z,APXMIDP,2022-10-06,15,180.2,1703.1
2022-10-06T05:30:00Z,APXMIDP,2022-10-06,14,174.38,1255.05
2022-10-06T05:00:00Z,APXMIDP,2022-10-06,13,141.9,1048.05
2022-10-06T04:30:00Z,APXMIDP,2022-10-06,12,102.39,796.2
2022-10-06T04:00:00Z,APXMIDP,2022-10-06,11,81.17,756.85
2022-10-06T03:30:00Z,APXMIDP,2022-10-06,10,7.44,757.1
2022-10-06T03:00:00Z,APXMIDP,2022-10-06,9,-9.25,768.7
2022-10-06T02:30:00Z,APXMIDP,2022-10-06,8,-24.99,562.5
2022-10-06T02:00:00Z,APXMIDP,2022-10-06,7,-21.38,608.8
2022-10-06T01:30:00Z,APXMIDP,2022-10-06,6,-28.2,699.35
2022-10-06T01:00:00Z,APXMIDP,2022-10-06,5,-11.52,935.15
2022-10-06T00:30:00Z,APXMIDP,2022-10-06,4,-20.04,797.85
2022-10-06T00:00:00Z,APXMIDP,2022-10-06,3,-25.7,552.65
2022-10-05T23:30:00Z,APXMIDP,2022-10-06,2,-7.99,678.1
2022-10-05T23:00:00Z,APXMIDP,2022-10-06,1,6.47,626.8
2022-10-05T22:30:00Z,APXMIDP,2022-10-05,48,-31.12,831.45
2022-10-05T22:00:00Z,APXMIDP,2022-10-05,47,6.23,760.85
2022-10-05T21:30:00Z,APXMIDP,2022-10-05,46,132.69,1756.0
2022-10-05T21:00:00Z,APXMIDP,2022-10-05,45,148.46,1841.65
2022-10-05T20:30:00Z,APXMIDP,2022-10-05,44,142.48,1786.4
2022-10-05T20:00:00Z,APXMIDP,2022-10-05,43,146.77,1759.7
2022-10-05T19:30:00Z,APXMIDP,2022-10-05,42,134.75,1749.85
2022-10-05T19:00:00Z,APXMIDP,2022-10-05,41,132.07,1652.5
2022-10-05T18:30:00Z,APXMIDP,2022-10-05,40,109.1,1368.75
2022-10-05T18:00:00Z,APXMIDP,2022-10-05,39,124.83,1418.95
2022-10-05T17:30:00Z,APXMIDP,2022-10-05,38,151.02,2333.5
2022-10-05T17:00:00Z,APXMIDP,2022-10-05,37,154.82,2285.55
2022-10-05T16:30:00Z,APXMIDP,2022-10-05,36,160.13,2356.05
2022-10-05T16:00:00Z,APXMIDP,2022-10-05,35,162.21,2518.15
